index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,173.5,13.1,804.18,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22.5,2.4,54,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,23,2.6,59.8,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,20.5,2.4,49.2,4
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,16,2.6,41.6,15
,5,203B,1M,Back 1 1/2 Somersault Pike,20,2.3,46,10
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,20,2.5,50,5
,Totals,,,,122,14.8,300.6,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,300.6,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,21.5,2.6,55.9,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,20.5,2.4,49.2,5
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.6,50.7,3
,5,203B,1M,Back 1 1/2 Somersault Pike,22.5,2.3,51.75,4
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.5,48.75,7
,Totals,,,,124.5,14.8,607.3,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,18,2.7,48.6,9
,2,107C,3M,Forward 3 1/2 Somersault Tuck,16.5,2.8,46.2,14
,3,205B,3M,Back 2 1/2 Somersault Pike,22,3,66,1
,4,305B,3M,Reverse 2 1/2 Somersault Pike,12.5,3,37.5,37
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19.5,3,58.5,3
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,2
,Totals,,,,109.5,17.3,315.6,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,315.6,0
,1,405C,3M,Inward 2 1/2 Somersault Tuck,21,2.7,56.7,3
,2,107C,3M,Forward 3 1/2 Somersault Tuck,18.5,2.8,51.8,7
,3,205B,3M,Back 2 1/2 Somersault Pike,22,3,66,2
,4,305B,3M,Reverse 2 1/2 Somersault Pike,15,3,45,13
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,15,3,45,12
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,3
,Totals,,,,112.5,17.3,638.9,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20.5,2.4,49.2,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,20,2.6,52,4
,3,303B,1M,Reverse 1 1/2 Somersault Pike,24,2.4,57.6,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,2
,5,203B,1M,Back 1 1/2 Somersault Pike,23,2.3,52.9,4
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,4
,Totals,,,,128.5,14.8,316.2,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20,2.4,48,4
,2,105B,1M,Forward 2 1/2 Somersault Pike,22,2.6,57.2,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,24,2.4,57.6,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.6,50.7,6
,5,203B,1M,Back 1 1/2 Somersault Pike,24.5,2.3,56.35,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,22,2.5,55,2
,Totals,,,,132,14.8,324.85,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,23.5,2.7,63.45,1
,2,107C,3M,Forward 3 1/2 Somersault Tuck,16,2.8,44.8,13
,3,205B,3M,Back 2 1/2 Somersault Pike,24,3,72,1
,4,305B,3M,Reverse 2 1/2 Somersault Pike,18.5,3,55.5,3
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,23.5,3,70.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.5,2.8,57.4,2
,Totals,,,,126,17.3,363.65,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,16.5,2.7,44.55,7
,2,107C,3M,Forward 3 1/2 Somersault Tuck,25,2.8,70,1
,3,205B,3M,Back 2 1/2 Somersault Pike,24,3,72,1
,4,305B,3M,Reverse 2 1/2 Somersault Pike,23.5,3,70.5,2
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19.5,3,58.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,22.5,2.8,63,3
,Totals,,,,131,17.3,378.55,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,20.25,2.4,48.6,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20.25,2.6,52.65,1
,5,203B,1M,Back 1 1/2 Somersault Pike,24.75,2.3,56.93,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,22.5,2.5,56.25,1
,Totals,,,,129.75,14.8,319.43,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,23.25,2.4,55.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,19.5,2.6,50.7,2
,3,303B,1M,Reverse 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18.75,2.6,48.75,2
,5,203B,1M,Back 1 1/2 Somersault Pike,24,2.3,55.2,1
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,1
,Totals,,,,128.25,14.8,315.15,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,19.5,2.7,52.65,3
,2,107C,3M,Forward 3 1/2 Somersault Tuck,20.25,2.8,56.7,2
,3,205B,3M,Back 2 1/2 Somersault Pike,16.5,3,49.5,3
,4,305B,3M,Reverse 2 1/2 Somersault Pike,22.5,3,67.5,1
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.75,3,65.25,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.75,2.8,60.9,2
,Totals,,,,122.25,17.3,352.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,4
,2,105B,1M,Forward 2 1/2 Somersault Pike,17.25,2.6,44.85,6
,3,303B,1M,Reverse 1 1/2 Somersault Pike,19.5,2.4,46.8,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,4
,5,203B,1M,Back 1 1/2 Somersault Pike,17.25,2.3,39.68,7
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,13.5,2.5,33.75,8
,Totals,,,,106.5,14.8,262.28,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,21.75,2.7,58.73,1
,2,107C,3M,Forward 3 1/2 Somersault Tuck,14.25,2.8,39.9,7
,3,205B,3M,Back 2 1/2 Somersault Pike,18.75,3,56.25,2
,4,305B,3M,Reverse 2 1/2 Somersault Pike,22.5,3,67.5,1
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.75,3,65.25,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,1
,Totals,,,,120,17.3,346.43,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,19.5,2.4,46.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,16.5,2.4,39.6,5
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,11.25,2.6,29.25,8
,5,203B,1M,Back 1 1/2 Somersault Pike,22.5,2.3,51.75,3
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.5,48.75,2
,Totals,,,,110.25,14.8,270.75,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,18,2.7,48.6,2
,2,107C,3M,Forward 3 1/2 Somersault Tuck,12,2.8,33.6,5
,3,205B,3M,Back 2 1/2 Somersault Pike,21.75,3,65.25,1
,4,305B,3M,Reverse 2 1/2 Somersault Pike,19.5,3,58.5,1
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18.75,3,56.25,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.75,2.8,60.9,1
,Totals,,,,111.75,17.3,323.1,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,19.5,2.6,50.7,2
,3,303B,1M,Reverse 1 1/2 Somersault Pike,22.5,2.4,54,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,15.75,2.6,40.95,5
,5,203B,1M,Back 1 1/2 Somersault Pike,21.75,2.3,50.03,2
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.5,48.75,2
,Totals,,,,120.75,14.8,296.63,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,20.25,2.7,54.68,2
,2,107C,3M,Forward 3 1/2 Somersault Tuck,18.75,2.8,52.5,2
,3,205B,3M,Back 2 1/2 Somersault Pike,13.5,3,40.5,2
,4,305B,3M,Reverse 2 1/2 Somersault Pike,18,3,54,2
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19.5,3,58.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,1
,Totals,,,,111,17.3,318.98,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,19.5,2.6,50.7,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,23.25,2.4,55.8,1
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,17.25,2.6,44.85,1
,5,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,3
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,1
,Totals,,,,123.75,14.8,304.35,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,24,2.7,64.8,1
,2,107C,3M,Forward 3 1/2 Somersault Tuck,24.75,2.8,69.3,1
,3,205B,3M,Back 2 1/2 Somersault Pike,21.75,3,65.25,1
,4,305B,3M,Reverse 2 1/2 Somersault Pike,10.5,3,31.5,2
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18.75,3,56.25,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,19.5,2.8,54.6,3
,Totals,,,,119.25,17.3,341.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,22,2.6,57.2,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,3
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,15,2.6,39,22
,5,203B,1M,Back 1 1/2 Somersault Pike,19.5,2.3,44.85,13
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,16.5,2.5,41.25,15
,Totals,,,,116,14.8,285.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,285.5,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,19,2.6,49.4,3
,3,303B,1M,Reverse 1 1/2 Somersault Pike,21.5,2.4,51.6,2
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,16,2.6,41.6,12
,5,203B,1M,Back 1 1/2 Somersault Pike,21.5,2.3,49.45,6
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21.5,2.5,53.75,3
,Totals,,,,121.5,14.8,584.1,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,20,2.7,54,3
,2,107C,3M,Forward 3 1/2 Somersault Tuck,11.5,2.8,32.2,35
,3,205B,3M,Back 2 1/2 Somersault Pike,18,3,54,6
,4,305B,3M,Reverse 2 1/2 Somersault Pike,11,3,33,31
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.5,3,64.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,3
,Totals,,,,103,17.3,296.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,296.5,0
,1,405C,3M,Inward 2 1/2 Somersault Tuck,21,2.7,56.7,2
,2,107C,3M,Forward 3 1/2 Somersault Tuck,21,2.8,58.8,1
,3,205B,3M,Back 2 1/2 Somersault Pike,22.5,3,67.5,1
,4,305B,3M,Reverse 2 1/2 Somersault Pike,21.5,3,64.5,2
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.5,3,61.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,18.5,2.8,51.8,6
,Totals,,,,125,17.3,657.3,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,13.5,2.7,36.45,30
,2,107C,3M,Forward 3 1/2 Somersault Tuck,17.5,2.8,49,15
,3,205B,3M,Back 2 1/2 Somersault Pike,12,3,36,29
,4,305B,3M,Reverse 2 1/2 Somersault Pike,3,3,9,34
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,7
,Totals,,67,14.5,193.45,,,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,401B,3M,Inward Dive Pike,42,2,50.4,1
,,401B,3M,Inward Dive Pike,,,,
,2,103B,3M,Forward 1 1/2 Somersault Pike,37.5,2,45,4
,,103B,3M,Forward 1 1/2 Somersault Pike,,,,
,3,205B,3M,Back 2 1/2 Somersault Pike,31.5,3,56.7,6
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,4,305B,3M,Reverse 2 1/2 Somersault Pike,39,3,70.2,2
,,305B,3M,Reverse 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,38,3,68.4,1
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,188,13,290.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,290.7,0
,,,0M,Carry Over from Previous Round,,,,
,1,401B,3M,Inward Dive Pike,43,2,51.6,2
,,401B,3M,Inward Dive Pike,,,,
,2,103B,3M,Forward 1 1/2 Somersault Pike,39.5,2,47.4,2
,,103B,3M,Forward 1 1/2 Somersault Pike,,,,
,3,205B,3M,Back 2 1/2 Somersault Pike,32.5,3,58.5,6
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,4,305B,3M,Reverse 2 1/2 Somersault Pike,35,3,63,4
,,305B,3M,Reverse 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,39,3,70.2,2
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,189,13,581.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,4
,2,105B,1M,Forward 2 1/2 Somersault Pike,14.5,2.6,37.7,12
,3,203B,1M,Back 1 1/2 Somersault Pike,18,2.3,41.4,11
,4,303B,1M,Reverse 1 1/2 Somersault Pike,17,2.4,40.8,10
,5,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,18,2.5,45,7
,6,5132D,1M,Forward 1 1/2 Somersault 1 Twist Free,19.5,2.2,42.9,7
,Totals,,,,108,14.4,258.2,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,22,2.6,57.2,3
,3,203B,1M,Back 1 1/2 Somersault Pike,23,2.3,52.9,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,20.5,2.4,49.2,4
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,15.5,2.6,40.3,7
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,18,2.5,45,6
,Totals,,,,121,14.8,297.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,22,2.7,59.4,3
,2,107C,3M,Forward 3 1/2 Somersault Tuck,11.5,2.8,32.2,15
,3,205B,3M,Back 2 1/2 Somersault Pike,23.5,3,70.5,2
,4,305B,3M,Reverse 2 1/2 Somersault Pike,13.5,3,40.5,10
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,16.5,3,49.5,6
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,19.5,2.8,54.6,4
,Totals,,,,106.5,17.3,306.7,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,18,2.7,48.6,4
,2,107C,3M,Forward 3 1/2 Somersault Tuck,18,2.8,50.4,6
,3,205B,3M,Back 2 1/2 Somersault Pike,16,3,48,6
,4,305B,3M,Reverse 2 1/2 Somersault Pike,11.5,3,34.5,7
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,22.5,3,67.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.5,2.8,57.4,2
,Totals,,,,106.5,17.3,306.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,20,2.7,54,14
,2,107C,3M,Forward 3 1/2 Somersault Tuck,22.5,2.8,63,5
,3,205B,3M,Back 2 1/2 Somersault Pike,18.5,3,55.5,8
,4,305B,3M,Reverse 2 1/2 Somersault Pike,20.5,3,61.5,6
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20,3,60,5
,Totals,,,,101.5,14.5,294,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,21,2.7,56.7,11
,2,107C,3M,Forward 3 1/2 Somersault Tuck,13.5,2.8,37.8,18
,3,205B,3M,Back 2 1/2 Somersault Pike,15,3,45,17
,4,305B,3M,Reverse 2 1/2 Somersault Pike,16,3,48,11
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,19.5,3,58.5,8
,Totals,,,,85,14.5,246,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,201B,3M,Back Dive Pike,36.5,2,43.8,3
,,201B,3M,Back Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,34.5,2,41.4,3
,,301B,3M,Reverse Dive Pike,,,,
,3,405C,3M,Inward 2 1/2 Somersault Tuck,30.5,2.7,49.41,5
,,405C,3M,Inward 2 1/2 Somersault Tuck,,,,
,4,107C,3M,Forward 3 1/2 Somersault Tuck,31,2.8,52.08,5
,,107C,3M,Forward 3 1/2 Somersault Tuck,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,30.5,3,54.9,4
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,163,12.5,241.59,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,201B,3M,Back Dive Pike,38.5,2,46.2,3
,,201B,3M,Back Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,38,2,45.6,3
,,301B,3M,Reverse Dive Pike,,,,
,3,405C,3M,Inward 2 1/2 Somersault Tuck,37.5,2.7,60.75,4
,,405C,3M,Inward 2 1/2 Somersault Tuck,,,,
,4,107C,3M,Forward 3 1/2 Somersault Tuck,35.5,2.8,59.64,5
,,107C,3M,Forward 3 1/2 Somersault Tuck,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,32,3,57.6,4
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,181.5,12.5,269.79,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20,2.4,48,21
,2,105B,1M,Forward 2 1/2 Somersault Pike,20,2.6,52,7
,3,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,9
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,17,2.6,44.2,29
,5,203B,1M,Back 1 1/2 Somersault Pike,21.5,2.3,49.45,12
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,12
,Totals,,,,120.5,14.8,296.55,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,0,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,6
,2,105B,1M,Forward 2 1/2 Somersault Pike,22,2.6,57.2,1
,3,303B,1M,Reverse 1 1/2 Somersault Pike,14.5,2.4,34.8,8
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,21,2.6,54.6,2
,5,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,5
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,4
,Totals,,,,120.5,14.8,297.8,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,18,2.7,48.6,27
,2,107C,3M,Forward 3 1/2 Somersault Tuck,19.5,2.8,54.6,15
,3,205B,3M,Back 2 1/2 Somersault Pike,17.5,3,52.5,21
,4,305B,3M,Reverse 2 1/2 Somersault Pike,18,3,54,15
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18,3,54,13
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,23,2.8,64.4,8
,Totals,,,,114,17.3,328.1,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,0,0
,1,405C,3M,Inward 2 1/2 Somersault Tuck,22,2.7,59.4,2
,2,107C,3M,Forward 3 1/2 Somersault Tuck,20,2.8,56,2
,3,205B,3M,Back 2 1/2 Somersault Pike,15,3,45,7
,4,305B,3M,Reverse 2 1/2 Somersault Pike,12,3,36,8
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20,3,60,4
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.5,2.8,60.2,2
,Totals,,,,110.5,17.3,316.6,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,105B,5M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,16
,2,405C,7.5M,Inward 2 1/2 Somersault Tuck,20.5,2.7,55.35,15
,3,205B,7.5M,Back 2 1/2 Somersault Pike,11.5,3,34.5,39
,4,303C,5M,Reverse 1 1/2 Somersault Tuck,18,2.1,37.8,35
,5,5233D,5M,Back 1 1/2 Somersault 1 1/2 Twist Free,21,2.5,52.5,19
,Totals,,,,92,12.9,234.75,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,13.5,2.6,35.1,46
,3,303B,1M,Reverse 1 1/2 Somersault Pike,21,2.4,50.4,4
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,23,2.6,59.8,1
,5,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,9
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,18.5,2.5,46.25,12
,Totals,,,,119,14.8,292.65,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,292.65,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,20,2.4,48,7
,2,105B,1M,Forward 2 1/2 Somersault Pike,16.5,2.6,42.9,14
,3,303B,1M,Reverse 1 1/2 Somersault Pike,18,2.4,43.2,15
,4,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,21,2.6,54.6,2
,5,203B,1M,Back 1 1/2 Somersault Pike,15,2.3,34.5,17
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,19.5,2.5,48.75,11
,Totals,,,,110,14.8,564.6,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405C,3M,Inward 2 1/2 Somersault Tuck,19.5,2.7,52.65,3
,2,107C,3M,Forward 3 1/2 Somersault Tuck,20.5,2.8,57.4,2
,3,205B,3M,Back 2 1/2 Somersault Pike,16.5,3,49.5,13
,4,305B,3M,Reverse 2 1/2 Somersault Pike,16,3,48,14
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18.5,3,55.5,4
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.5,2.8,60.2,4
,Totals,,,,112.5,17.3,323.25,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,323.25,0
,1,405C,3M,Inward 2 1/2 Somersault Tuck,18,2.7,48.6,8
,2,107C,3M,Forward 3 1/2 Somersault Tuck,20,2.8,56,5
,3,205B,3M,Back 2 1/2 Somersault Pike,17.5,3,52.5,7
