index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,3,107B,3M,Forward 3 1/2 Somersault Pike,0,3.1,0,13
,,,,,Failed Dive,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,17.5,3,52.5,6
,5,305B,3M,Reverse 2 1/2 Somersault Pike,21.5,3,64.5,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.5,2.8,57.4,1
,Totals,,,,99.5,17.9,294.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,22.5,3,67.5,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,17,3,51,1
,3,107B,3M,Forward 3 1/2 Somersault Pike,17.5,3.1,54.25,2
,4,205B,3M,Back 2 1/2 Somersault Pike,17.5,3,52.5,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,13.5,3,40.5,3
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,18.5,2.8,51.8,2
,Totals,,,,106.5,17.9,317.55,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,20.5,2.6,53.3,1
,3,203B,1M,Back 1 1/2 Somersault Pike,23,2.3,52.9,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,18.5,2.4,44.4,5
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,1
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,20,2.6,52,3
,Totals,,,,124,14.9,307.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,20,3,60,2
,3,107B,3M,Forward 3 1/2 Somersault Pike,14.5,3.1,44.95,7
,4,205B,3M,Back 2 1/2 Somersault Pike,21,3,63,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,17.5,3,52.5,4
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21,2.8,58.8,1
,Totals,,,,115,17.9,342.25,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,22.5,2.4,54,5
,2,105B,1M,Forward 2 1/2 Somersault Pike,23,2.6,59.8,1
,3,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,5
,4,303B,1M,Reverse 1 1/2 Somersault Pike,22.5,2.4,54,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,21.5,2.6,55.9,1
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,19,2.6,49.4,4
,Totals,,,,129.5,14.9,321.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,321.4,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,22.5,2.4,54,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,1
,3,203B,1M,Back 1 1/2 Somersault Pike,22,2.3,50.6,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,13,2.4,31.2,18
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18.5,2.6,48.1,4
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21,2.6,54.6,1
,Totals,,,,118,14.9,614.5,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.5,3,64.5,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,18,3,54,2
,3,107B,3M,Forward 3 1/2 Somersault Pike,15.5,3.1,48.05,9
,4,205B,3M,Back 2 1/2 Somersault Pike,16.5,3,49.5,9
,5,305B,3M,Reverse 2 1/2 Somersault Pike,11.5,3,34.5,48
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,19,2.8,53.2,2
,Totals,,,,102,17.9,303.75,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,303.75,0
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,19.5,3,58.5,1
,3,107B,3M,Forward 3 1/2 Somersault Pike,19.5,3.1,60.45,2
,4,205B,3M,Back 2 1/2 Somersault Pike,22.5,3,67.5,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,14,3,42,17
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,21.5,2.8,60.2,1
,Totals,,,,118,17.9,655.4,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,405B,3M,Inward 2 1/2 Somersault Pike,19,3,57,4
,2,107B,3M,Forward 3 1/2 Somersault Pike,19,3.1,58.9,3
,3,205B,3M,Back 2 1/2 Somersault Pike,17.5,3,52.5,8
,4,305B,3M,Reverse 2 1/2 Somersault Pike,9.5,3,28.5,36
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,18,3,54,5
,Totals,,,,83,15.1,250.9,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,250.9,0
,1,405B,3M,Inward 2 1/2 Somersault Pike,18.5,3,55.5,8
,2,107B,3M,Forward 3 1/2 Somersault Pike,16.5,3.1,51.15,8
,3,205B,3M,Back 2 1/2 Somersault Pike,20.5,3,61.5,4
,4,305B,3M,Reverse 2 1/2 Somersault Pike,21,3,63,1
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.5,3,61.5,3
,Totals,,,,97,15.1,543.55,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,401B,3M,Inward Dive Pike,37.5,2,45,2
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,32.5,2,39,4
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,23,3.1,42.78,7
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,32,3,57.6,3
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
